experiment	dataset	id	data_central	theory_central	rep_00001	rep_00002	rep_00003	rep_00004	rep_00005	rep_00006	rep_00007	rep_00008	rep_00009	rep_00010	rep_00011	rep_00012	rep_00013	rep_00014	rep_00015	rep_00016	rep_00017	rep_00018	rep_00019	rep_00020	rep_00021	rep_00022	rep_00023	rep_00024	rep_00025	rep_00026	rep_00027	rep_00028	rep_00029	rep_00030	rep_00031	rep_00032	rep_00033	rep_00034	rep_00035	rep_00036	rep_00037	rep_00038	rep_00039	rep_00040	rep_00041	rep_00042	rep_00043	rep_00044	rep_00045	rep_00046	rep_00047	rep_00048	rep_00049	rep_00050	rep_00051	rep_00052	rep_00053	rep_00054	rep_00055	rep_00056	rep_00057	rep_00058	rep_00059	rep_00060	rep_00061	rep_00062	rep_00063	rep_00064	rep_00065	rep_00066	rep_00067	rep_00068	rep_00069	rep_00070	rep_00071	rep_00072	rep_00073	rep_00074	rep_00075	rep_00076	rep_00077	rep_00078	rep_00079	rep_00080	rep_00081	rep_00082	rep_00083	rep_00084	rep_00085	rep_00086	rep_00087	rep_00088	rep_00089	rep_00090	rep_00091	rep_00092	rep_00093	rep_00094	rep_00095	rep_00096	rep_00097	rep_00098	rep_00099	rep_00100
SLAC	SLACD	0	0.32006	0.33668383955955505	0.3317863941192627	0.3464229106903076	0.36712896823883057	0.33379584550857544	0.3285341262817383	0.3215658664703369	0.33556950092315674	0.35030198097229004	0.32396697998046875	0.34136247634887695	0.3392237424850464	0.31898033618927	0.3509155511856079	0.3330512046813965	0.32024192810058594	0.33827418088912964	0.3233727216720581	0.3431131839752197	0.34681499004364014	0.3409261703491211	0.30605340003967285	0.324230432510376	0.32981979846954346	0.33915436267852783	0.3091587424278259	0.3224971294403076	0.3585031032562256	0.33911657333374023	0.34969234466552734	0.34061431884765625	0.3489721417427063	0.34979259967803955	0.3012623190879822	0.3297295570373535	0.33448219299316406	0.3378915786743164	0.35818004608154297	0.33278417587280273	0.3242192268371582	0.3441351652145386	0.3416343927383423	0.3305274248123169	0.31747180223464966	0.33903640508651733	0.3225603699684143	0.3227289319038391	0.33699285984039307	0.34061872959136963	0.37415456771850586	0.33358585834503174	0.33559250831604004	0.32977569103240967	0.3165498971939087	0.3674067258834839	0.33289140462875366	0.3570975065231323	0.3408091068267822	0.3505634069442749	0.32915931940078735	0.33574050664901733	0.33702802658081055	0.3390319347381592	0.35938966274261475	0.3174710273742676	0.3214465379714966	0.32451462745666504	0.324537992477417	0.3278084993362427	0.3756546974182129	0.3247547149658203	0.32803523540496826	0.34052908420562744	0.34279942512512207	0.33003485202789307	0.3263857364654541	0.32866621017456055	0.311565637588501	0.3470991849899292	0.3151906728744507	0.3515894412994385	0.3314192295074463	0.35226738452911377	0.32328683137893677	0.32280826568603516	0.34054625034332275	0.36645305156707764	0.3588060140609741	0.3452715277671814	0.3252503275871277	0.3521437644958496	0.33626627922058105	0.32945090532302856	0.3490482568740845	0.35588276386260986	0.3480786681175232	0.34638965129852295	0.33480727672576904	0.3418698310852051	0.3299556374549866	0.3343150019645691
SLAC	SLACD	1	0.31132	0.33517134189605713	0.3297635316848755	0.3403133153915405	0.3609165549278259	0.33364319801330566	0.330166757106781	0.32125240564346313	0.3348240852355957	0.34905385971069336	0.3235964775085449	0.336025595664978	0.33796191215515137	0.3240708112716675	0.34768277406692505	0.33034753799438477	0.32146477699279785	0.3374300003051758	0.3218827247619629	0.33934009075164795	0.3434256315231323	0.33938276767730713	0.30014002323150635	0.3262460231781006	0.3279358148574829	0.3399442434310913	0.31595247983932495	0.32188403606414795	0.35524213314056396	0.3369290232658386	0.3501521944999695	0.3402034044265747	0.3457503318786621	0.3435875177383423	0.30853039026260376	0.32670414447784424	0.33504414558410645	0.33642029762268066	0.3540748953819275	0.3324204087257385	0.3261284828186035	0.342839777469635	0.3404116630554199	0.3334358334541321	0.3192360997200012	0.33787643909454346	0.32221823930740356	0.32467901706695557	0.3327775001525879	0.3387272357940674	0.36746925115585327	0.33551907539367676	0.3364936113357544	0.3262115716934204	0.3188883066177368	0.36128371953964233	0.3379465341567993	0.35505038499832153	0.33774495124816895	0.3440498113632202	0.32887935638427734	0.33149534463882446	0.3366680145263672	0.3357260227203369	0.35024791955947876	0.3209453821182251	0.322354793548584	0.32592010498046875	0.3232996463775635	0.32625699043273926	0.3651927709579468	0.32334446907043457	0.3285670280456543	0.33962440490722656	0.33862584829330444	0.32887816429138184	0.32315129041671753	0.32644665241241455	0.31437909603118896	0.3432995080947876	0.3144097924232483	0.35164302587509155	0.3321588635444641	0.3497816324234009	0.32561779022216797	0.3203301429748535	0.33665919303894043	0.3602370023727417	0.3477931022644043	0.34262049198150635	0.32693469524383545	0.34849029779434204	0.3333192467689514	0.3270730972290039	0.3472635746002197	0.35422277450561523	0.3461463451385498	0.3419715166091919	0.3334435224533081	0.3394199013710022	0.33246785402297974	0.33313435316085815
SLAC	SLACD	2	0.32716	0.33288633823394775	0.3268318772315979	0.3315902352333069	0.3516746163368225	0.33319276571273804	0.33144909143447876	0.3317277431488037	0.33335810899734497	0.3467447757720947	0.32322800159454346	0.329063355922699	0.3361123204231262	0.32963061332702637	0.3429161310195923	0.32661181688308716	0.3238285183906555	0.3369826078414917	0.32075124979019165	0.3380495309829712	0.3389621376991272	0.33708393573760986	0.2987668514251709	0.3276655673980713	0.3251473307609558	0.3407211899757385	0.3200739026069641	0.32084089517593384	0.3507791757583618	0.33337873220443726	0.35000258684158325	0.33925431966781616	0.34072113037109375	0.33499008417129517	0.31643450260162354	0.3223314881324768	0.33539485931396484	0.334025502204895	0.347916841506958	0.3310582637786865	0.32734572887420654	0.3405120372772217	0.33776259422302246	0.33250266313552856	0.32098352909088135	0.3355697989463806	0.32162201404571533	0.32711172103881836	0.3269464373588562	0.335871160030365	0.3576202392578125	0.33702242374420166	0.3378140330314636	0.3211687207221985	0.3222171664237976	0.3520779609680176	0.3442707657814026	0.3511521816253662	0.33368945121765137	0.3346353769302368	0.32772254943847656	0.32536983489990234	0.33547019958496094	0.33129793405532837	0.3375436067581177	0.3256528973579407	0.32387661933898926	0.3274294137954712	0.3215375542640686	0.32472872734069824	0.3508334755897522	0.32210326194763184	0.3284865617752075	0.3377695083618164	0.3325415849685669	0.3269410729408264	0.3202136158943176	0.3231779932975769	0.31777143478393555	0.33759331703186035	0.31355446577072144	0.3507572412490845	0.33229732513427734	0.34608280658721924	0.32914531230926514	0.31705039739608765	0.3305196166038513	0.3506696820259094	0.332904577255249	0.33844876289367676	0.3292049765586853	0.3430213928222656	0.3293904662132263	0.3245142698287964	0.3441126346588135	0.3511813282966614	0.34205663204193115	0.33508944511413574	0.3309873938560486	0.33598965406417847	0.3351847529411316	0.3312183618545532
SLAC	SLACD	3	0.30739	0.3132564425468445	0.3122584819793701	0.3233945369720459	0.3153396248817444	0.3196350038051605	0.3035852015018463	0.3211771249771118	0.3210952877998352	0.3125516474246979	0.3118581175804138	0.3100588321685791	0.3224934935569763	0.31196144223213196	0.3078480362892151	0.3235110342502594	0.30946582555770874	0.3053405284881592	0.3125414252281189	0.3209656774997711	0.32733768224716187	0.3132774531841278	0.2997353672981262	0.3099193572998047	0.3081832230091095	0.31470751762390137	0.30685773491859436	0.30836498737335205	0.3350735306739807	0.3170861303806305	0.3025783598423004	0.30751752853393555	0.30840012431144714	0.33006978034973145	0.2920566201210022	0.30887067317962646	0.3095032572746277	0.30087000131607056	0.318805992603302	0.3103470802307129	0.3234242796897888	0.3012561500072479	0.31268036365509033	0.3204991817474365	0.3046571612358093	0.3167993128299713	0.29959529638290405	0.29941052198410034	0.3137597143650055	0.3100075423717499	0.30491793155670166	0.30321380496025085	0.30893534421920776	0.3071257770061493	0.3093797266483307	0.3280414938926697	0.31452831625938416	0.31272855401039124	0.32218754291534424	0.3323492407798767	0.2976765036582947	0.3191671371459961	0.3098980784416199	0.33074235916137695	0.36252492666244507	0.2961697578430176	0.29910311102867126	0.3138655424118042	0.3174722194671631	0.3030985891819	0.34042292833328247	0.31878453493118286	0.3160344660282135	0.3138430416584015	0.3162975311279297	0.311426043510437	0.31909674406051636	0.31332331895828247	0.2805594801902771	0.32408472895622253	0.29276221990585327	0.3056982159614563	0.29786252975463867	0.32057544589042664	0.312951922416687	0.32555943727493286	0.3054441213607788	0.3298555612564087	0.34821683168411255	0.3138767182826996	0.30247917771339417	0.3282414674758911	0.32477867603302	0.2976474165916443	0.31528154015541077	0.3108082711696625	0.2986278831958771	0.3187488913536072	0.30757665634155273	0.3176620900630951	0.31387823820114136	0.29337620735168457
SLAC	SLACD	4	0.31328	0.3092420995235443	0.30852067470550537	0.315131813287735	0.3076697587966919	0.3140398859977722	0.3044261932373047	0.32023683190345764	0.3187786042690277	0.3102768063545227	0.30825620889663696	0.30513328313827515	0.3192991316318512	0.3078324496746063	0.30574658513069153	0.318389892578125	0.30522775650024414	0.30700409412384033	0.3080733120441437	0.3122069239616394	0.32177290320396423	0.30835530161857605	0.2970104217529297	0.3127056658267975	0.3035680651664734	0.3123636841773987	0.3077716529369354	0.3046380877494812	0.3284985423088074	0.3146476447582245	0.30276790261268616	0.30876630544662476	0.3055883049964905	0.3175916075706482	0.294808030128479	0.3034133315086365	0.308737576007843	0.3035038709640503	0.31779080629348755	0.30628252029418945	0.31790030002593994	0.2985113561153412	0.31201404333114624	0.31216204166412354	0.3041621446609497	0.3134448230266571	0.2968057096004486	0.30049359798431396	0.3116278052330017	0.3105114698410034	0.3006780743598938	0.3004075884819031	0.3075861930847168	0.29845258593559265	0.30597516894340515	0.3199276328086853	0.31804338097572327	0.3130408525466919	0.3147677183151245	0.31856095790863037	0.2984243631362915	0.3115467429161072	0.3070584833621979	0.32101142406463623	0.3418691158294678	0.29773247241973877	0.2973228394985199	0.309575617313385	0.3103574812412262	0.2988968789577484	0.32608526945114136	0.3110922873020172	0.31447267532348633	0.30733823776245117	0.3097459673881531	0.30726194381713867	0.31051844358444214	0.3080841898918152	0.28425657749176025	0.3137267529964447	0.28821486234664917	0.3044620454311371	0.2988276183605194	0.31605932116508484	0.31060898303985596	0.31835702061653137	0.2996872067451477	0.3209059238433838	0.32809707522392273	0.31020304560661316	0.30328497290611267	0.3205444812774658	0.3163396120071411	0.2931789755821228	0.31284698843955994	0.3108936846256256	0.2966564893722534	0.31205886602401733	0.30403846502304077	0.313833624124527	0.3127794563770294	0.29404038190841675
SLAC	SLACD	5	0.30161	0.30717286467552185	0.30652955174446106	0.3105299770832062	0.30388209223747253	0.31095659732818604	0.3048616051673889	0.32041773200035095	0.3172284960746765	0.3095453381538391	0.30637553334236145	0.3022885322570801	0.31735891103744507	0.30678611993789673	0.30441591143608093	0.3154151737689972	0.30337589979171753	0.30772942304611206	0.3056516945362091	0.3093964457511902	0.3192119896411896	0.3058003783226013	0.2965105175971985	0.3160182237625122	0.3010774254798889	0.31086403131484985	0.30796223878860474	0.3026631474494934	0.3250938653945923	0.3131698668003082	0.30265071988105774	0.3094046115875244	0.30380862951278687	0.31145092844963074	0.2955816686153412	0.300751268863678	0.3085060119628906	0.30468064546585083	0.3163592517375946	0.3045879602432251	0.3153567314147949	0.29708293080329895	0.31138965487480164	0.3085764944553375	0.3034452795982361	0.3116112947463989	0.2952670753002167	0.3006823658943176	0.309935986995697	0.31019124388694763	0.2983667552471161	0.2989693880081177	0.30693209171295166	0.2942275404930115	0.3041195571422577	0.31573015451431274	0.31912264227867126	0.31254714727401733	0.31112176179885864	0.3119843006134033	0.2983488440513611	0.30749714374542236	0.3054255247116089	0.3162997364997864	0.3316187858581543	0.29864630103111267	0.2964317500591278	0.3072774112224579	0.3068324625492096	0.2965804636478424	0.31906211376190186	0.3071657121181488	0.3145487606525421	0.30403459072113037	0.30637088418006897	0.3050649166107178	0.3063512444496155	0.3052656948566437	0.2860739231109619	0.30877867341041565	0.286054402589798	0.30372169613838196	0.29918909072875977	0.31339678168296814	0.3093108534812927	0.31439754366874695	0.2964366376399994	0.3161889612674713	0.3182622790336609	0.3081642687320709	0.3032248020172119	0.31664666533470154	0.3121565878391266	0.29093053936958313	0.31136929988861084	0.310519814491272	0.2957330346107483	0.30842000246047974	0.30191606283187866	0.311784565448761	0.31203147768974304	0.2941928207874298
SLAC	SLACD	6	0.30411	0.3045699894428253	0.30388572812080383	0.30482786893844604	0.29936403036117554	0.30723005533218384	0.30517885088920593	0.3206939399242401	0.31503820419311523	0.30856946110725403	0.30403411388397217	0.29872891306877136	0.3148612976074219	0.30589625239372253	0.3026735484600067	0.3116655945777893	0.30123865604400635	0.30838027596473694	0.302643358707428	0.30715638399124146	0.3159258961677551	0.30262231826782227	0.2960696816444397	0.31900253891944885	0.29798775911331177	0.30888044834136963	0.3077981472015381	0.30014562606811523	0.32087385654449463	0.3111135959625244	0.30231577157974243	0.3100478947162628	0.301494300365448	0.30409738421440125	0.29617810249328613	0.29731160402297974	0.30819424986839294	0.3057982921600342	0.3143216371536255	0.3026913106441498	0.3124234974384308	0.29524555802345276	0.31023266911506653	0.3044762909412384	0.3023117780685425	0.3091907203197479	0.2933107316493988	0.3006505072116852	0.3075937032699585	0.3092583417892456	0.2954884469509125	0.2972244322299957	0.3059549629688263	0.2890942096710205	0.30179938673973083	0.3106256425380707	0.3200545907020569	0.3116410970687866	0.30667802691459656	0.304123193025589	0.297976553440094	0.3025593161582947	0.30326253175735474	0.31061771512031555	0.3196223974227905	0.29948103427886963	0.295263409614563	0.3043680787086487	0.3025142550468445	0.29360049962997437	0.3107057809829712	0.3023172616958618	0.3145062029361725	0.3001083433628082	0.3023301959037781	0.30231067538261414	0.3012538552284241	0.3017597794532776	0.28788673877716064	0.30297043919563293	0.28348153829574585	0.30266261100769043	0.29970720410346985	0.31009936332702637	0.3076660931110382	0.3094222843647003	0.2924177944660187	0.31041455268859863	0.3066149652004242	0.30559396743774414	0.3028562068939209	0.31185832619667053	0.30702775716781616	0.28826141357421875	0.3093499541282654	0.30981025099754333	0.29465252161026	0.3038821220397949	0.29913330078125	0.3092068135738373	0.31115126609802246	0.2939951419830322
SLAC	SLACD	7	0.2822	0.29266244173049927	0.2782365083694458	0.29968738555908203	0.29040056467056274	0.30231159925460815	0.28394681215286255	0.2938750982284546	0.29138457775115967	0.2917344570159912	0.2982748746871948	0.28849947452545166	0.3051069974899292	0.29488134384155273	0.2892371416091919	0.29996633529663086	0.2939261198043823	0.2906401753425598	0.29141950607299805	0.30357062816619873	0.30275917053222656	0.2969181537628174	0.27739793062210083	0.30025172233581543	0.2881370186805725	0.2940177917480469	0.2761687636375427	0.28830015659332275	0.31244397163391113	0.2905910015106201	0.27774858474731445	0.293046236038208	0.28726035356521606	0.3082132339477539	0.2795483469963074	0.2941080927848816	0.2952457666397095	0.28827381134033203	0.2947051525115967	0.2920079231262207	0.2844145894050598	0.28819727897644043	0.2893502712249756	0.292468786239624	0.27963167428970337	0.2924222946166992	0.2855631113052368	0.28430718183517456	0.2888166904449463	0.2875453233718872	0.2884702682495117	0.28601163625717163	0.294933557510376	0.2902037501335144	0.298140287399292	0.3014153242111206	0.2965328097343445	0.2926595211029053	0.3068554401397705	0.31254446506500244	0.28148090839385986	0.29738426208496094	0.2938869595527649	0.3091273307800293	0.3157632350921631	0.2770336866378784	0.2855830192565918	0.2887296676635742	0.29959946870803833	0.2888251543045044	0.3084850311279297	0.3021533489227295	0.2908285856246948	0.28745514154434204	0.29446500539779663	0.29437798261642456	0.30250275135040283	0.2971724271774292	0.26568925380706787	0.2859841585159302	0.2815883755683899	0.29580581188201904	0.27363789081573486	0.3024541139602661	0.30176842212677	0.30132627487182617	0.28607797622680664	0.3068024516105652	0.3044893741607666	0.29477858543395996	0.2846306562423706	0.30793654918670654	0.3062734603881836	0.28585952520370483	0.30315232276916504	0.2891772985458374	0.27857011556625366	0.30002903938293457	0.2865103483200073	0.2907445430755615	0.27600806951522827	0.2773653268814087
SLAC	SLACD	8	0.28576	0.29026633501052856	0.2761014699935913	0.29438817501068115	0.2868040204048157	0.29921984672546387	0.28503191471099854	0.29189324378967285	0.2907041311264038	0.29112493991851807	0.295451819896698	0.28697669506073	0.303106427192688	0.29511189460754395	0.2877933979034424	0.2977086901664734	0.2905595302581787	0.28742873668670654	0.2887037992477417	0.30358433723449707	0.29915618896484375	0.2934417724609375	0.27625352144241333	0.2942110300064087	0.28542184829711914	0.2927250862121582	0.2765513062477112	0.28584206104278564	0.30829429626464844	0.2894277572631836	0.27955424785614014	0.29430127143859863	0.2859865427017212	0.3005603551864624	0.2812250256538391	0.2902841567993164	0.2943936586380005	0.2846492528915405	0.2929033041000366	0.28781306743621826	0.28164762258529663	0.2858849763870239	0.28915268182754517	0.2889673709869385	0.27967995405197144	0.2910299301147461	0.28336143493652344	0.2847972512245178	0.2882499694824219	0.2877970337867737	0.2862609624862671	0.2845430374145508	0.29337966442108154	0.28447675704956055	0.2956739068031311	0.2967621088027954	0.2981661558151245	0.29308226704597473	0.30189669132232666	0.3037017583847046	0.2817980647087097	0.2929021120071411	0.29162222146987915	0.3031836748123169	0.30645084381103516	0.27837491035461426	0.2838733196258545	0.2868133783340454	0.2948484420776367	0.2858472466468811	0.30122387409210205	0.29650330543518066	0.28821659088134766	0.2848466634750366	0.2908351421356201	0.2916090488433838	0.29674243927001953	0.2934257984161377	0.2675395607948303	0.28314661979675293	0.27819061279296875	0.2942597270011902	0.27426010370254517	0.299060583114624	0.29977744817733765	0.29714512825012207	0.28246361017227173	0.3015710711479187	0.296555757522583	0.29245734214782715	0.28530120849609375	0.30330944061279297	0.3005157709121704	0.2828109860420227	0.300906777381897	0.28965485095977783	0.28058749437332153	0.2959080934524536	0.2848350405693054	0.28817903995513916	0.27830296754837036	0.2775757312774658
SLAC	SLACD	9	0.28195	0.2877201735973358	0.27396976947784424	0.28916049003601074	0.28298377990722656	0.2960667014122009	0.2858065962791443	0.2899506688117981	0.28976374864578247	0.2903909683227539	0.29257071018218994	0.2851124405860901	0.30090707540512085	0.29305392503738403	0.28620684146881104	0.2951909899711609	0.2873680591583252	0.2846091389656067	0.2859399914741516	0.30077266693115234	0.2956874370574951	0.2899048328399658	0.27487713098526	0.2886388897895813	0.282626748085022	0.2912207245826721	0.276574969291687	0.28330135345458984	0.3041626214981079	0.28805720806121826	0.28107118606567383	0.2953544855117798	0.2844924330711365	0.2930377721786499	0.28242820501327515	0.2864619493484497	0.2933999300003052	0.28121495246887207	0.2914266586303711	0.28389930725097656	0.2789155840873718	0.28350841999053955	0.28872889280319214	0.28545498847961426	0.2796322703361511	0.289420485496521	0.28105735778808594	0.2849242091178894	0.2873868942260742	0.28778767585754395	0.28385674953460693	0.28302550315856934	0.29170751571655273	0.2788301706314087	0.29308152198791504	0.292091965675354	0.2994568645954132	0.29311221837997437	0.29695725440979004	0.2950373888015747	0.2818126678466797	0.2883527874946594	0.28921210765838623	0.29730093479156494	0.29732465744018555	0.279560923576355	0.282059907913208	0.28476500511169434	0.29012244939804077	0.2828006148338318	0.29409778118133545	0.29107511043548584	0.28581249713897705	0.28217577934265137	0.2871958613395691	0.28872740268707275	0.2910412549972534	0.2896048426628113	0.2691192626953125	0.28013986349105835	0.27473270893096924	0.2926005721092224	0.274634450674057	0.29574859142303467	0.2976554036140442	0.29287660121917725	0.27886801958084106	0.2962571978569031	0.2884296178817749	0.29002803564071655	0.2856278419494629	0.29861414432525635	0.2947499752044678	0.27969157695770264	0.2984616756439209	0.28979504108428955	0.28178179264068604	0.2916496992111206	0.2828255295753479	0.285658597946167	0.28010666370391846	0.27728813886642456
